goodsSn,상품명,정가,판매가,브랜드,대분류,중분류,썸네일URL,상품URL
P100034403,브루트 3시트 w2600 가죽 소파(4인용),16980001545000,9,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P100034403/GM41153853_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P100034403
P200202912,카모아 3시트 w2950 가죽 슬라이딩 리클라이너 소파(4인용),39900003790000,5,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200202912/GM44077373_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200202912
P200184736,[클리어런스] 마카다미아 2시트 w2480 패브릭 소파 카우치형(3인용),1217000850200,30,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200184736/GM43544333_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200184736
P200196357,그란디오소 프리모 3시트 w2795 가죽소파(4인용),3090000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196357/GM43863587_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196357
P200187608,[클리어런스] 그래비티 2시트 w2080 가죽 소파(3인용),1340000970900,28,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187608/GM43635180_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187608
P200089504,리르 3시트 w3000 가죽 소파 일반형(4인용),24580002237000,9,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200089504/GM41839529_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200089504
P200183505,[클리어런스] 스모어 2시트 w2120 패브릭 소파(3인용),834000621300,26,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200183505/GM43531543_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200183505
P200089505,리르 3시트 w2600 가죽 소파 컴팩트형(4인용),21170001926000,9,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200089505/GM41839755_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200089505
P200061933,로이머 3시트 w2400 패브릭 리클라이너 소파 양면형(3.5인용),2798000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200061933/GM41184104_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200061933
P200198067,카모아 2시트 w2560 패브릭 슬라이딩 리클라이너 소파(3.5인용),24500002327000,5,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200198067/GM43939309_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200198067
P200187860,더 마제스 3시트 w3280 가죽 리클라이너 소파 홈바형(4인용),4428000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187860/GM43933501_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187860
P200168513,[클리어런스] 몰리세 3시트 w2700 패브릭 리클라이너 소파(4인용),22660002006400,11,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P100034262/GM40376508_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200168513
P200196337,미유모어 3시트 w2500 가죽 리클라이너 소파 일면형 시트렌치 소프트 샌드(3.5인용),2250000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196337/GM43878146_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196337
P200180915,[클리어런스] 캐슈넛 2시트 w2800 패브릭 리클라이너 소파 일면형(4인용),18100001300500,28,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200180915/GM43624723_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200180915
P200183506,[클리어런스] 스모어 2시트 w2520 패브릭 소파(3.5인용),994000741000,25,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200183506/GM43531601_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200183506
P200187863,더 마제스 3시트 w2930 가죽 리클라이너 소파(4인용),3850000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187863/GM43637392_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187863
P200198701,NEW온드 2시트 w2400 패브릭 소파(3인용),1210000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200198701/GM43963766_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200198701
P200196333,미유모어 3시트 w2500 가죽 소파 시트렌치 소프트 샌드(3.5인용),1950000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196333/GM43877995_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196333
P200061876,[클리어런스] 몰리세 2시트 w1900 가죽 리클라이너 소파(3인용),20250001750800,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200061876/GM41196941_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200061876
P200187890,[클리어런스] 네오 뉴탐 3시트 w1950 패브릭 소파(3인용),828000662100,20,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187890/GM43668318_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187890
P200116392,띠에르노 3시트 w2890 가죽 소파(4인용),39360003542000,10,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200116392/GM42343325_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200116392
P200181188,[클리어런스] 아일레 w2110 패브릭 소파(3인용),1090000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200181188/GM43486475_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200181188
P200134640,[클리어런스] 오브니 2시트 w2100 패브릭 소파(3인용),12420001073500,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200134640/GM43588546_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200134640
P200134634,[클리어런스] 오브니 3시트 w2950 패브릭 소파 와이드형 부클레(4인용),18400001590300,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200134634/GM43588591_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200134634
P200194615,[클리어런스] 네오 뉴탐 패브릭 소파 커버,5600048400,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200194615/GM43816499_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200194615
P200168509,[클리어런스] 몰리세 3시트 w2700 패브릭 소파 헤드틸팅형(4인용),16390001416400,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200037639/GM40609958_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200168509
P200195913,라에르 3시트 w2950 가죽 소파(4인용),2790000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200195913/GM43860042_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195913
P200186800,더 마제스 3시트 w2980 가죽 소파 와이드형(4인용),2851000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200186800/GM43934475_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200186800
P200186803,더 마제스 3시트 w2800 가죽 소파(4인용),2695000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200186803/GM43610080_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200186803
P100034400,브루트 2시트 w1900 가죽 소파(3인용),14150001288000,9,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P100034400/GM41153615_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P100034400
P200089503,리르 3시트 w3000 가죽 소파 스윙백(4인용),29370002673000,9,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200089503/GM41836504_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200089503
P200196335,미유모어 3시트 w2500 가죽 리클라이너 소파 양면형 시트렌치 소프트 샌드(3.5인용),2570000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196335/GM43878112_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196335
P200186806,더 마제스 3시트 w2600 가죽 소파(3.5인용),2576000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200186806/GM43940007_img.png?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200186806
P200195909,라에르 2시트 w2600 가죽 소파(3.5인용),2490000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200195909/GM43860047_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200195909
P200167914,더유닛 2시트 w2240 패브릭 리클라이너 소파 양면형(3인용),26580002392000,10,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200167914/GM43552508_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200167914
P200167915,더유닛 3시트 w3060 패브릭 소파 일반형(4인용),25420002288000,10,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200167915/GM43552482_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200167915
P200099514,노이 3시트 w2800 가죽 소파 일반형(4인용),2198000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200099514/GM41991512_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200099514
P200099512,노이 2시트 w2385 가죽 소파 일반형(3.5인용),2036000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200099512/GM41995640_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200099512
P200061878,[클리어런스] 몰리세 3시트 w2620 가죽 리클라이너 소파(4인용),24540002121300,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200061878/GM41197007_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200061878
P200187878,[클리어런스] 클로버 2시트 w2680 패브릭 소파(4인용),905000669000,26,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187878/GM43740015_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187878
P200196338,미유모어 3시트 w2800 가죽 리클라이너 소파 일면형 시트렌치 소프트 샌드(4인용),2510000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196338/GM43878167_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196338
P200196334,미유모어 3시트 w2800 가죽 소파 시트렌치 소프트 샌드(4인용),2150000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196334/GM43878091_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196334
P200197259,모엘르 1시트 w1055 가죽 리클라이너 소파(1인용),1690000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200197259/GM43932406_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200197259
P200198703,NEW온드 3시트 w3200 패브릭 소파 와이드형(4인용),1640000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200198703/GM44006829_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200198703
P200168514,[클리어런스] 몰리세 2시트 w1930 패브릭 리클라이너 소파(3인용),19070001687200,12,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P100034259/GM40376441_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200168514
P200202248,NEW온드 2시트 w2400 패브릭 소파 오토만 포함(3인용),1514000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200202248/GM44054959_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200202248
P200189307,[클리어런스] 브리오 3시트 w3585 패브릭 소파 스윙백(4인용),21070001585000,25,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200189307/GM43684568_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200189307
P200198702,NEW온드 3시트 w2800 패브릭 소파 오픈형(4인용),1400000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200198702/GM43963796_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200198702
P200187917,[클리어런스] 네오 뉴탐 1인 패브릭 흔들의자,437000343900,21,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187917/GM43654172_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187917
P200196963,[클리어런스] 프랄리네 1시트 w1310 패브릭 소파(2인용),584000472000,19,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196963/GM43910669_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196963
P200191169,[클리어런스] 스모어 2시트 w1800 패브릭 소파 컴팩트형(3인용),797000614600,23,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200191169/GM43710483_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200191169
P200106880,모인 포근소파(선택구성),539000216000,60,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200106880/GM42291873_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200106880
P200198700,NEW온드 1시트 w800 패브릭 소파(1인용),435000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200198700/GM43963729_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200198700
P200196736,[클리어런스] 캐러멜 2시트 w2400 패브릭 소파(3인용),1030000979000,5,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196736/GM43883205_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196736
P200145552,[클리어런스] 오브니 1시트 w850 패브릭 소파 부클레(1인용),487000420800,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200145552/GM43588518_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200145552
P200089506,리르 w1100 가죽 소파 오토만 일반형,436000397000,9,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200089506/GM41849488_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200089506
P200134641,[클리어런스] 오브니 1시트 w850 패브릭 소파(1인용),438000379000,13,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200134641/GM42674923_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200134641
P200196961,[클리어런스] 프랄리네 3시트 w2600 패브릭 소파(3.5인용),1004000811000,19,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196961/GM43910229_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196961
P200145725,로지 1시트 w1050 패브릭 소파(1인용),699000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200145725/GM42874761_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200145725
P200181190,[클리어런스] 아일레 w780 패브릭 소파 오토만,325000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200181190/GM43486527_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200181190
P100011643,[클리어런스] 듀엣모노 컴팩트 2시트 w1710 패브릭 소파(3인용),698000588000,16,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P100011643/GM41693243_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P100011643
P200196964,[클리어런스] 프랄리네 1시트 w900 패브릭 소파 코너형(1인용),354000286000,19,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200196964/GM43910694_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200196964
P200181189,[클리어런스] 아일레 1시트 w845 패브릭 소파(1인용),544000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200181189/GM43486488_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200181189
P200124427,[클리어런스] 프리즘 1시트 w1030 패브릭 소파(1인용),524000287000,45,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200124427/GM42532815_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200124427
P200187926,[클리어런스] 네오 뉴탐 w600 패브릭 소파 오토만,153000131100,14,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187926/GM43638592_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187926
P200187881,[클리어런스] 클로버 2시트 w2000 패브릭 소파(3인용),676000499000,26,리바트 세계가구,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187881/GM43620233_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187881
P200186812,더 마제스 w1085 가죽 소파 오토만,505000,,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200186812/GM43639988_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200186812
P200187899,[클리어런스] 네오 뉴탐 2시트 w1350 패브릭 소파(2인용),607000486400,20,리바트,소파,,https://static.hyundailivart.co.kr/upload_mall/goods/P200187899/GM43638559_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200187899
