goodsSn,상품명,정가,판매가,브랜드,대분류,중분류,배송유형,배송료,배송기간,사다리차_비용규정,직접운반_규정,현장설치_추가작업비,교환반품_배송비,교환반품_신청기간_조건,옵션목록,옵션별가격,썸네일URL,상품URL
P200134164,[클리어런스] 엔슬립 에펙토 퀸 매트리스,337000227000,33,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200134164/GM43869838_img.png?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200134164
P200134221,[클리어런스] 엔슬립 프리마 퀸 매트리스,1097000708700,35,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),미디엄 | 미디엄하드,"[아울렛] 엔슬립 프리마 미디엄 퀸 매트리스: 746,000원 | [아울렛] 엔슬립 프리마 미디엄하드 퀸 매트리스: 746,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200134221/GM43869827_img.png?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200134221
P200088974,엔슬립 시그니처 매트리스 (SS,Q,LK,KK),1144000,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),KK | LK | LK 패밀리 | Q | SS | 뉴 소프트 | 미디엄 | 하드,"엔슬립 시그니처 슈퍼싱글 매트리스 뉴 소프트: 1,144,000원 | 엔슬립 시그니처 슈퍼싱글 매트리스 미디엄: 1,144,000원 | 엔슬립 시그니처 슈퍼싱글 매트리스 하드: 1,144,000원 | 엔슬립 시그니처 퀸 매트리스 뉴 소프트: 1,830,000원 | 엔슬립 시그니처 퀸 매트리스 미디엄: 1,830,000원",리바트,침대/매트리스
P200082611,[클리어런스] 토스트 퀸 침대 프레임,620000483500,22,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),무헤드형 | 헤드형 | 라이트오크 | 월넛 | 화이트,"토스트 퀸 침대 프레임 헤드형 화이트: 509,000원 | 토스트 퀸 침대 프레임 헤드형 라이트오크: 509,000원 | 토스트 퀸 침대 프레임 헤드형 월넛: 509,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200082611/GM41660765_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200082611
P200169250,[클리어런스] 피아프 퀸 호텔형 침대 프레임 일반형 (조명포함),815000500600,39,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),일반형 (확장패널X) | 확장형 (양면 패널형) | 확장형 (일면 패널형) | 베이지 | 화이트,"피아프 퀸 침대 프레임 일반형 베이지 : 527,000원 | 피아프 퀸침대 프레임 일반형 화이트 : 527,000원 | 피아프 퀸 호텔형 침대 프레임 일반형 일면 패널형 화이트: 787,000원 | 피아프 퀸 호텔형 침대 프레임 일반형 일면 패널형 베이지: 787,000원 | 피아프 퀸 호텔형 침대 프레임 일반형 양면 패널형 화이트: 1,017,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200169250/GM43306893_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200169250
P200100791,에스테틱 침대 확장 패널,5600039200,30,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),확장 패널 350 | 확장 패널 450 | 확장 패널 라운드 몰드 우형 | 확장 패널 라운드 몰드 좌형 | 확장 패널 화장대형 | 내추럴 에쉬(오이스터 셸 골든 샌드) | 아이보리(시 트렌치 소프트 샌드),"에스테틱 침대 확장 패널 450 아이보리: 420,000원 | 에스테틱 침대 확장 패널 450 내추럴 에쉬: 420,000원 | 에스테틱 침대 확장 패널 350 아이보리: 422,000원 | 에스테틱 침대 확장 패널 350 내추럴 에쉬: 422,000원 | 에스테틱 침대 확장 패널 화장대형 아이보리: 492,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200100791/GM43832562_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200100791
P200173927,에스테틱 더 블렌딩 침대 프레임 SS/Q/LK/KK,961000,,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),라지킹(LK) | 슈퍼싱글(SS) | 스탠다드 트윈(SS침대2+450확장패널1+수납협탁1+라운드몰드 좌/우) | 퀸(Q) | 킹오브킹(KK) | 할리우드 트윈(SS침대2+화장대 확장패널+450확장패널1+라운드몰드 좌/우+스틸협탁1),"에스테틱 더 블렌딩 슈퍼싱글 침대 프레임: 961,000원 | 에스테틱 더 블렌딩 퀸 침대 프레임: 1,156,000원 | 에스테틱 더 블렌딩 라지킹 침대 프레임: 1,262,000원 | 에스테틱 더 블렌딩 킹오브킹 침대 프레임: 1,368,000원 | 에스테틱 더 블렌딩 슈퍼싱글 침대 프레임 스탠다드 트윈형 내추럴 에쉬: 2,732,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200173927/GM43832472_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200173927
P100040006,소비아 침대 프레임 SS/Q/LK/KK,756000,,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),침대 프레임 KK | 침대 프레임 LK | 침대 프레임 LK | 침대 프레임 Q | 침대 프레임 SS | 침대 프레임 스탠다드 트윈(SS침대2+기능형 확장패널1+협탁 등탁자1) | 침대 프레임 할리우드 트윈(SS침대2+기능형 확장패널2+협탁 등탁자2),"소비아 침대 프레임 SS/Q/LK - 소비아 침대 SS : 756,000원 | 소비아 침대 프레임 SS/Q/LK - 소비아 침대 Q : 949,000원 | 소비아 침대 프레임 LK : 1,085,000원 | 소비아 침대 프레임 KK: 1,165,000원 | 소비아 침대 프레임 스탠다드 트윈형: 2,049,000원",,https://living.hyundailivart.co.kr/p/P100040006
P200088878,엔슬립 포멀 매트리스 (SS,Q,LK),697000,,리바트,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),LK | LK 패밀리 | Q | SS | 소프트 | 하드,"엔슬립 포멀 슈퍼싱글 매트리스 소프트: 697,000원 | 엔슬립 포멀 슈퍼싱글 매트리스 하드: 697,000원 | 엔슬립 포멀 퀸 매트리스 소프트: 1,152,000원 | 엔슬립 포멀 퀸 매트리스 하드: 1,152,000원 | 엔슬립 포멀 라지킹 매트리스 소프트: 1,254,000원",침대/매트리스,https://living.hyundailivart.co.kr/p/P200088878
P100025886,[클리어런스] 필로시 슈퍼싱글 침대 프레임 멀티수납형 (1단 서랍 3칸),610000511100,16,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),오크(캣피시 브라운) | 화이트(폴라 화이트) | 침대 프레임 SS | 침대 프레임 트윈형 (SS침대2),"필로시 멀티수납 슈퍼싱글침대 프레임(매트별도) - 화이트: 538,000원 | 필로시 멀티수납 슈퍼싱글침대 프레임(매트별도) - 오크: 538,000원 | 필로시 슈퍼싱글 침대 프레임 멀티수납형 트윈형 화이트: 1,075,000원 | 필로시 슈퍼싱글 침대 프레임 멀티수납형 트윈형 오크: 1,075,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P100025886/GM40711358_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P100025886
P200169254,[클리어런스] 피아프 슈퍼싱글 호텔형 침대 프레임 일반형 (조명포함),586000400900,32,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),일반형 (확장패널X) | 확장형 (양면 패널형) | 확장형 (일면 패널형) | 베이지 | 화이트,"피아프 슈퍼싱글 침대 프레임 일반형 베이지 : 422,000원 | 피아프 슈퍼싱글 침대 프레임 일반형 화이트 : 422,000원 | 피아프 슈퍼싱글 호텔형 침대 프레임 일반형 일면 패널형 화이트: 682,000원 | 피아프 슈퍼싱글 호텔형 침대 프레임 일반형 일면 패널형 베이지: 682,000원 | 피아프 슈퍼싱글 호텔형 침대 프레임 일반형 양면 패널형 화",https://static.hyundailivart.co.kr/upload_mall/goods/P200169254/GM43306904_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200169254
P100009520,[클리어런스] 토스트 네츄럴 슈퍼싱글 침대 프레임,479000390400,18,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,,https://living.hyundailivart.co.kr/p/P100009520
P200091692,[클리어런스] 코코니 수납침대 슈퍼싱글 프레임,628000386600,38,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),,,https://static.hyundailivart.co.kr/upload_mall/goods/P200091692/GM41857645_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200091692
P200186504,엔슬립 에스텔스타 매트리스 (SS,Q,LK,KK),2303000,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),기존 상품에 추가 연결/설치 시 현장 작업비용 별도 발생,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),KK | LK | Q | SS | 미디엄 | 소프트 | 하드,"엔슬립 에스텔스타 슈퍼싱글 매트리스 소프트: 2,303,000원 | 엔슬립 에스텔스타 슈퍼싱글 매트리스 미디엄: 2,303,000원 | 엔슬립 에스텔스타 슈퍼싱글 매트리스 하드: 2,303,000원 | 엔슬립 에스텔스타 퀸 매트리스 소프트: 3,205,000원 | 엔슬립 에스텔스타 퀸 매트리스 미디엄: 3,205,000원",리바트,침대/매트리스
P100025936,[클리어런스] 필로시 슈퍼싱글 침대 프레임 멀티수납형 (2단 서랍 4칸),789000561400,29,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),오크(캣피시 브라운) | 화이트(폴라 화이트) | 침대 프레임 SS | 침대 프레임 트윈형 (SS침대2),"필로시 2단 멀티수납 슈퍼싱글침대 프레임(매트별도) - 화이트: 591,000원 | 필로시 2단 멀티수납 슈퍼싱글침대 프레임(매트별도) - 오크: 591,000원 | 필로시 슈퍼싱글 침대 프레임 2단 멀티수납형 트윈형 화이트: 1,182,000원 | 필로시 슈퍼싱글 침대 프레임 2단 멀티수납형 트윈형 오크: 1,182,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P100025936/GM40711798_img.jpg?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P100025936
P200134218,[클리어런스] 엔슬립 프리마 슈퍼싱글 매트리스,923000621300,33,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),미디엄 | 미디엄하드,"[아울렛] 엔슬립 프리마 미디엄 슈퍼싱글 매트리스: 654,000원 | [아울렛] 엔슬립 프리마 미디엄하드 슈퍼싱글 매트리스: 654,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200134218/GM42675291_img.png?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200134218
P200134224,[클리어런스] 엔슬립 프리마 라지킹 매트리스,1242000800800,36,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),미디엄 | 미디엄하드,"[아울렛] 엔슬립 프리마 미디엄 라지킹 매트리스: 843,000원 | [아울렛] 엔슬립 프리마 미디엄하드 라지킹 매트리스: 843,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200134224/GM43869829_img.png?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200134224
P200134170,[클리어런스] 엔슬립 파밀리아 퀸 매트리스,598000412300,31,리바트,침대/매트리스,,현대 리바트 직접배송,기본 배송비: 무료 제주 지역 배송비 안내: 제주도민-무료/ 제주도민이 아닌 고객이 제주도로 배송 요청시: 배송비가 결제 금액에 따라 부과 상세 배송비는 결제 화면에서 확인하실 수 있습니다.,"설치제품, 가구제품: 배송기간은 주문 후 4~5일 정도 소요 됩니다. 결제 후 SMS, 알림톡 또는 유선을 통해",300만원 이상 구매 시 100% 본사 지원 (5층 이하) / 200만~300만원 미만 일부 부담 / 200만원 미만 고객 전액 부담 (단품 5만원) / 6층 이상 전액 과금,엘리베이터/사다리차 불가 시 2~5층 수동 계단 운반 추가비 발생 (6층 이상 수동 운반 불가),침대 추가 연결 (Q/SS 다릿발/가드) 2.8만~9만원 / 조명패널 1.5만~2.6만원 현장 작업비,"14,040원 (티테이블/소가구) ~ 38,000원 (중형 가구)",공정위 규정 수령일 익일부터 7일 이내 / 가구 특성상 조립 후 반품 불가 (제품 하자 시 예외 가능),미디엄 | 미디엄하드,"[아울렛] 엔슬립 파밀리아 미디엄 퀸 매트리스: 434,000원 | [아울렛] 엔슬립 파밀리아 미디엄하드 퀸 매트리스: 434,000원",https://static.hyundailivart.co.kr/upload_mall/goods/P200134170/GM43869836_img.png?RS=0X250&CS=250X250&AO=1,https://living.hyundailivart.co.kr/p/P200134170
